"STATION","DATE","ACMH","ACSH","ADPT","ASLP","ASTP","AWBT","AWND","DAEV","DASF","DAWM","EVAP","FMTM","MDEV","MDSF","MDWM","PGTM","PRCP","PSUN","RHAV","RHMN","RHMX","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094728","2021-01-01",,,"27","30.36","30.15","33","5.59",,,,,,,,,,"0.62",,"   69","   55","   93","0.0","0.0",,"40","33",,,,"  100","  120",,,,,,"12.1","17.0",,,"    1",,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-02",,,"34","29.90","29.72","38","6.71",,,,,,,,,,"0.05",,"   74","   54","   97","0.0","0.0",,"51","36",,,,"  300","  320",,,,,,"21.9","33.1",,,"    1",,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-03",,,"31","30.02","29.87","34","9.17",,,,,,,,,,"0.22",,"   83","   70","   93","0.0","0.0",,"38","34",,,,"   50","   50",,,,,,"18.1","27.1",,,"    1",,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-04",,,"31","29.96","29.80","35","4.47",,,,,,,,,,"0.02",,"   77","   67","   89","0.0","0.0",,"43","35",,,,"   30","   40",,,,,,"12.1","18.1",,,"    1",,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-05",,,"29","29.91","29.77","35","4.92",,,,,,,,,,"0.00",,"   69","   60","   79","0.0","0.0",,"42","36",,,,"  350","  360",,,,,,"12.1","17.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-06",,,"26","29.98","29.83","33","8.28",,,,,,,,,,"0.00",,"   64","   49","   79","0.0","0.0",,"41","34",,,,"  300","  300",,,,,,"21.0","31.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-07",,,"20","30.08","29.93","30","6.93",,,,,,,,,,"0.00",,"   55","   41","   64","0.0","0.0",,"41","30",,,,"  300","  310",,,,,,"15.0","21.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-08",,,"19","29.97","29.82","27","6.04",,,,,,,,,,"0.00",,"   59","   48","   69","0.0","0.0",,"37","27",,,,"   10","   20",,,,,,"13.0","19.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-09",,,"15","29.89","29.75","26","6.93",,,,,,,,,,"0.00",,"   51","   40","   63","0.0","0.0",,"37","24",,,,"  360","   30",,,,,,"17.0","28.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-10",,,"18","30.19","30.03","29","4.25",,,,,,,,,,"0.00",,"   51","   39","   59","0.0","0.0",,"41","29",,,,"  360","   10",,,,,,"13.0","17.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-11",,,"21","30.26","30.11","29","2.46",,,,,,,,,,"0.00",,"   63","   57","   72","0.0","0.0",,"37","28",,,,"  290","  300",,,,,,"8.1","11.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-12",,,"23","30.10","29.95","32","4.47",,,,,,,,,,"0.00",,"   55","   42","   66","0.0","0.0",,"44","33",,,,"   20","   20",,,,,,"8.9","12.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-13",,,"24","29.99","29.85","34","3.13",,,,,,,,,,"0.00",,"   53","   45","   62","0.0","0.0",,"43","35",,,,"  230","  260",,,,,,"13.0","19.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-14",,,"30","29.83","29.69","38","2.01",,,,,,,,,,"0.00",,"   59","   44","   70","0.0","0.0",,"49","39",,,,"  300","  230",,,,,,"8.1","12.1",,,,,,,,,,"    1",,,,,,,,,,,
"USW00094728","2021-01-15",,,"36","29.91","29.77","39","8.05",,,,,,,,,,"0.38",,"   82","   73","   93","0.0","0.0",,"46","38",,,,"  100","   90",,,,,,"16.1","23.9",,,"    1",,"    1",,,,,"    1",,,,,,,,,,,
"USW00094728","2021-01-16",,,"35","29.46","29.31","39","8.50",,,,,,,,,,"0.78",,"   77","   57","   93","0.0","0.0",,"47","37",,,,"   50","   60",,,,,,"21.9","30.0",,,"    1",,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-17",,,"24","29.62","29.47","34","8.28",,,,,,,,,,"0.00",,"   54","   45","   67","0.0","0.0",,"44","35",,,,"  270","  260",,,,,,"18.1","35.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-18",,,"26","29.76","29.61","35","7.61",,,,,,,,,,"0.00",,"   56","   43","   65","0.0","0.0",,"45","37",,,,"  270","  280",,,,,,"16.1","23.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-19",,,"22","30.03","29.89","32","5.82",,,,,,,,,,"0.00",,"   54","   38","   67","0.0","0.0",,"43","35",,,,"  270","  240",,,,,,"17.0","27.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-20",,,"17","29.95","29.80","29","7.61",,,,,,,,,,"0.02",,"   49","   34","   89","0.0","0.0",,"40","27",,,,"  300","  300",,,,,,"21.0","32.0",,,"    1",,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-21",,,"17","29.76","29.61","29","3.80",,,,,,,,,,"0.00",,"   50","   41","   56","0.0","0.0",,"43","25",,,,"  220","  240",,,,,,"16.1","23.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-22",,,"21","29.72","29.57","33","7.61",,,,,,,,,,"0.00",,"   47","   34","   55","0.0","0.0",,"45","36",,,,"  280","  260",,,,,,"16.1","29.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-23",,,"6","30.04","29.90","23","11.41",,,,,,,,,,"0.00",,"   38","   30","   48","0.0","0.0",,"36","24",,,,"  310","  290",,,,,,"23.0","34.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-24",,,"4","30.15","30.00","21","10.07",,,,,,,,,,"0.00",,"   39","   27","   48","0.0","0.0",,"32","22",,"    0",,"  300","  300",,,,,,"19.9","32.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2021-01-25",,,"11","30.10","29.95","24","5.14",,,,,,,,,,"0.00",,"   44","   35","   55","0.0","0.0",,"37","23",,,,"   40","   40",,,,,,"14.1","21.9",,,,,,,,,,,,,,,,,,,,,
