,LocationID,Borough,Zone,LatLong,Zipcode
0,1,EWR,Newark Airport,"(40.6895314, -74.1744624)",07114
1,2,Queens,Jamaica Bay,"(40.6056632, -73.8713099)",
2,3,Bronx,Allerton/Pelham Gardens,"(40.8653022, -73.8468281)",10469
3,4,Manhattan,Alphabet City,"(40.7258428, -73.9774916)",10009
4,5,Staten Island,Arden Heights,"(40.556413, -74.1735044)",10312
5,6,Staten Island,Arrochar/Fort Wadsworth,"(40.6012117, -74.0579185)",10305
6,7,Queens,Astoria,"(40.7643574, -73.92346189999999)",11106
7,8,Queens,Astoria Park,"(40.7785364, -73.92283359999999)",11105
8,9,Queens,Auburndale,"(40.7577672, -73.78339609999999)",11358
9,10,Queens,Baisley Park,"(40.6848044, -73.78222509999999)",11434
10,11,Brooklyn,Bath Beach,"(40.6038852, -74.0062078)",11214
11,12,Manhattan,Battery Park,"(40.7115786, -74.0158441)",10280
12,13,Manhattan,Battery Park City,"(40.7115786, -74.0158441)",10280
13,14,Brooklyn,Bay Ridge,"(40.6263732, -74.0298767)",11209
14,15,Queens,Bay Terrace/Fort Totten,"(40.7937344, -73.7797197)",11359
15,16,Queens,Bayside,"(40.7602604, -73.7692026)",11361
16,17,Brooklyn,Bedford,"(41.204262, -73.6437397)",10506
17,18,Bronx,Bedford Park,"(40.8700999, -73.8856912)",10458
18,19,Queens,Bellerose,"(40.72437070000001, -73.71540139999999)",11001
19,20,Bronx,Belmont,"(42.2231241, -78.0344506)",14813
20,21,Brooklyn,Bensonhurst East,"(40.6139307, -73.9921833)",11204
21,22,Brooklyn,Bensonhurst West,"(40.6139307, -73.9921833)",11204
22,23,Staten Island,Bloomfield/Emerson Hill,"(40.6074525, -74.0963115)",10304
23,24,Manhattan,Bloomingdale,"(44.4078279, -74.0870965)",12913
24,25,Brooklyn,Boerum Hill,"(40.6848689, -73.9844722)",11217
25,26,Brooklyn,Borough Park,"(40.6350319, -73.9921028)",11219
26,27,Queens,Breezy Point/Fort Tilden/Riis Beach,"(40.5616379, -73.8953425)",
27,28,Queens,Briarwood/Jamaica Hills,"(40.7135548, -73.796488)",11432
28,29,Brooklyn,Brighton Beach,"(40.5780706, -73.9596565)",11235
29,30,Queens,Broad Channel,"(40.6158335, -73.8213213)",11693
30,31,Bronx,Bronx Park,"(40.8614069, -73.8705879)",10467
31,32,Bronx,Bronxdale,"(40.8506558, -73.86652409999999)",10462
32,33,Brooklyn,Brooklyn Heights,"(40.6959294, -73.9955523)",11201
33,34,Brooklyn,Brooklyn Navy Yard,"(40.6991765, -73.97158379999999)",11205
34,35,Brooklyn,Brownsville,"(40.665214, -73.9125304)",11212
35,36,Brooklyn,Bushwick North,"(40.6957755, -73.9170604)",11221
36,37,Brooklyn,Bushwick South,"(40.6957755, -73.9170604)",11221
37,38,Queens,Cambria Heights,"(40.692158, -73.7330753)",11411
38,39,Brooklyn,Canarsie,"(40.6402325, -73.9060579)",11236
39,40,Brooklyn,Carroll Gardens,"(40.6795331, -73.9991637)",11231
40,41,Manhattan,Central Harlem,"(40.8089419, -73.9482305)",10027
41,42,Manhattan,Central Harlem North,"(40.8089419, -73.9482305)",10027
42,43,Manhattan,Central Park,"(40.7825547, -73.9655834)",10024
43,44,Staten Island,Charleston/Tottenville,"(40.5083408, -74.23554039999999)",10307
44,45,Manhattan,Chinatown,"(40.7157509, -73.9970307)",10013
45,46,Bronx,City Island,"(40.8468202, -73.7874983)",10464
46,47,Bronx,Claremont/Bathgate,"(40.7127753, -74.0059728)",10007
47,48,Manhattan,Clinton East,"(40.7637581, -73.9918181)",10019
48,49,Brooklyn,Clinton Hill,"(40.6896834, -73.9661144)",11205
49,50,Manhattan,Clinton West,"(40.7628785, -73.9940134)",10036
50,51,Bronx,Co-Op City,"(40.8738889, -73.82944440000001)",10475
51,52,Brooklyn,Cobble Hill,"(40.686536, -73.9962255)",11201
52,53,Queens,College Point,"(40.786395, -73.8389657)",11356
53,54,Brooklyn,Columbia Street,"(40.7171876, -73.9801753)",10002
