"STATION","DATE","ACMH","ACSH","ADPT","ASLP","ASTP","AWBT","AWND","DAEV","DASF","DAWM","EVAP","FMTM","MDEV","MDSF","MDWM","PGTM","PRCP","PSUN","RHAV","RHMN","RHMX","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094728","2019-01-01",,,"39","29.85","29.64","45",,,,,,,,,,,"0.06",,"   69","   47","   97","0.0","0.0",,"58","39",,,,,,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,
"USW00094728","2019-01-02",,,"23","30.25","30.10","32",,,,,,,,,,,"0.00",,"   56","   48","   68","0.0","0.0",,"40","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","2019-01-03",,,"29","29.95","29.81","36",,,,,,,,,,,"0.00",,"   63","   43","   83","0.0","0.0",,"44","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","2019-01-04",,,"29","29.93","29.77","37",,,,,,,,,,,"0.00",,"   63","   51","   74","0.0","0.0",,"47","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","2019-01-05",,,"41","29.56","29.41","42",,,,,,,,,,,"0.50",,"   91","   71","   97","0.0","0.0",,"47","41",,,,,,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,
"USW00094728","2019-01-06",,,"25","29.96","29.81","35",,,,,,,,,,,"0.00",,"   53","   34","   71","0.0","0.0",,"49","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","2019-01-07",,,"7","30.40","30.24","23",,,,,,,,,,,"0.00",,"   40","   26","   56","0.0","0.0",,"34","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","2019-01-08",,,"37","29.93","29.78","40",,,,,,,,,,,"0.17",,"   88","   61","   97","0.0","0.0",,"45","34",,,,,,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,
"USW00094728","2019-01-09",,,"25","29.58","29.42","35",,,,,,,,,,,"0.06",,"   54","   40","   96","0.0","0.0",,"45","34",,,,,,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,
"USW00094728","2019-01-10",,,"15","29.76","29.61","26",,,,,,,,,,,"0.00",,"   51","   45","   64","0.0","0.0",,"34","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","2019-01-11",,,"4","30.23","30.08","20",,,,,,,,,,,"0.00",,"   41","   27","   53","0.0","0.0",,"30","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","2019-01-12",,,"7","30.49","30.34","21",,,,,,,,,,,"0.00",,"   42","   30","   55","0.0","0.0",,"34","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","2019-01-13",,,"10","30.37","30.22","23",,,,,,,,,,,"0.00",,"   45","   32","   63","0.0","0.0",,"33","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
