LocationID,Zone,LatLong
1,Newark Airport,"(40.6895314, -74.1744624)"
2,Jamaica Bay,"(40.6056632, -73.8713099)"
3,Allerton/Pelham Gardens,"(40.8653022, -73.8468281)"
4,Alphabet City,"(40.7258428, -73.9774916)"
5,Arden Heights,"(40.556413, -74.1735044)"
6,Arrochar/Fort Wadsworth,"(40.6012117, -74.0579185)"
7,Astoria,"(40.7643574, -73.92346189999999)"
8,Astoria Park,"(40.7785364, -73.92283359999999)"
9,Auburndale,"(40.7577672, -73.78339609999999)"
10,Baisley Park,"(40.6848044, -73.78222509999999)"
11,Bath Beach,"(40.6038852, -74.0062078)"
12,Battery Park,"(40.7115786, -74.0158441)"
13,Battery Park City,"(40.7115786, -74.0158441)"
14,Bay Ridge,"(40.6263732, -74.0298767)"
15,Bay Terrace/Fort Totten,"(40.7937344, -73.7797197)"
16,Bayside,"(40.7602604, -73.7692026)"
17,Bedford,"(41.204262, -73.6437397)"
18,Bedford Park,"(40.8700999, -73.8856912)"
19,Bellerose,"(40.72437070000001, -73.71540139999999)"
20,Belmont,"(42.2231241, -78.0344506)"
21,Bensonhurst East,"(40.6139307, -73.9921833)"
22,Bensonhurst West,"(40.6139307, -73.9921833)"
23,Bloomfield/Emerson Hill,"(40.6074525, -74.0963115)"
24,Bloomingdale,"(44.4078279, -74.0870965)"
25,Boerum Hill,"(40.6848689, -73.9844722)"
26,Borough Park,"(40.6350319, -73.9921028)"
27,Breezy Point/Fort Tilden/Riis Beach,"(40.5616379, -73.8953425)"
28,Briarwood/Jamaica Hills,"(40.7135548, -73.796488)"
29,Brighton Beach,"(40.5780706, -73.9596565)"
30,Broad Channel,"(40.6158335, -73.8213213)"
31,Bronx Park,"(40.8614069, -73.8705879)"
32,Bronxdale,"(40.8506558, -73.86652409999999)"
33,Brooklyn Heights,"(40.6959294, -73.9955523)"
34,Brooklyn Navy Yard,"(40.6991765, -73.97158379999999)"
35,Brownsville,"(40.665214, -73.9125304)"
36,Bushwick North,"(40.6957755, -73.9170604)"
37,Bushwick South,"(40.6957755, -73.9170604)"
38,Cambria Heights,"(40.692158, -73.7330753)"
39,Canarsie,"(40.6402325, -73.9060579)"
